person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
41,34745,MORTGAGE,3.3,DEBTCONSOLIDATION,A,32476,8.36,1,0.935,N,19.0
63,35308,MORTGAGE,9.1,HOMEIMPROVEMENT,A,15677,7.86,1,0.444,N,30.0
44,48066,OWN,2.2,DEBTCONSOLIDATION,G,28818,22.9,1,0.6,N,24.0
46,35381,RENT,9.8,PERSONAL,C,2868,15.56,1,0.081,Y,24.0
61,31961,RENT,2.6,HOMEIMPROVEMENT,B,19055,9.26,1,0.596,N,30.0
47,52253,MORTGAGE,2.0,DEBTCONSOLIDATION,A,2728,7.17,0,0.052,N,26.0
35,42066,RENT,3.0,VENTURE,C,8632,12.2,1,0.205,N,15.0
34,120860,MORTGAGE,7.2,DEBTCONSOLIDATION,A,13043,7.52,0,0.108,N,13.0
66,15000,MORTGAGE,0.7,DEBTCONSOLIDATION,A,7403,9.41,1,0.494,N,30.0
63,94362,MORTGAGE,1.1,HOMEIMPROVEMENT,A,16732,7.33,0,0.177,N,30.0
22,103533,RENT,15.1,PERSONAL,B,19526,10.34,0,0.189,N,3.0
56,15000,RENT,1.0,PERSONAL,C,10340,11.46,1,0.689,Y,30.0
26,39910,RENT,4.2,PERSONAL,A,23394,7.16,1,0.586,N,6.0
40,39227,RENT,4.3,PERSONAL,C,34021,14.88,1,0.867,N,20.0
28,21067,OWN,3.4,MEDICAL,A,5102,7.2,0,0.242,N,9.0
58,30739,RENT,5.2,HOMEIMPROVEMENT,C,20159,13.12,1,0.656,N,30.0
37,25176,RENT,1.3,EDUCATION,G,7212,24.83,1,0.286,N,19.0
23,140275,RENT,4.0,HOMEIMPROVEMENT,C,32824,13.12,0,0.234,Y,4.0
44,85940,MORTGAGE,2.3,MEDICAL,D,12525,17.55,0,0.146,N,22.0
33,105127,MORTGAGE,5.4,PERSONAL,E,29760,16.96,0,0.283,N,11.0
28,75584,RENT,0.8,MEDICAL,B,28457,11.31,0,0.376,N,10.0
45,24898,RENT,4.2,VENTURE,C,11532,15.48,0,0.463,N,23.0
21,35785,RENT,1.0,VENTURE,D,14518,17.21,1,0.406,N,1.0
39,65750,RENT,,HOMEIMPROVEMENT,B,7476,8.26,0,0.114,N,17.0
47,23546,MORTGAGE,1.2,HOMEIMPROVEMENT,A,20743,6.73,1,0.881,N,29.0
66,75191,MORTGAGE,1.0,EDUCATION,E,2004,18.21,1,0.027,N,30.0
26,42438,RENT,8.7,EDUCATION,C,4271,14.71,1,0.101,N,6.0
63,39148,RENT,1.7,VENTURE,A,1209,,1,0.031,N,30.0
27,75100,OTHER,13.1,PERSONAL,B,26463,9.28,0,0.352,N,8.0
66,63994,RENT,17.5,MEDICAL,C,6539,11.57,0,0.102,N,30.0
54,39474,MORTGAGE,4.2,EDUCATION,B,20977,9.51,1,0.531,N,30.0
33,98282,RENT,0.8,DEBTCONSOLIDATION,C,9606,12.0,0,0.098,Y,15.0
36,25625,RENT,2.3,EDUCATION,C,4148,15.42,0,0.162,N,17.0
55,70937,RENT,8.0,PERSONAL,C,34536,12.72,0,0.487,N,30.0
59,69972,MORTGAGE,2.3,PERSONAL,B,6607,11.33,0,0.094,N,30.0
23,40711,OWN,0.5,HOMEIMPROVEMENT,C,20586,13.52,1,0.506,Y,1.0
21,59616,RENT,4.1,MEDICAL,C,30250,13.5,0,0.507,Y,1.0
25,23140,RENT,9.3,PERSONAL,C,19594,12.79,1,0.847,N,3.0
61,85341,RENT,7.9,EDUCATION,B,8399,11.42,0,0.098,N,30.0
23,43873,RENT,1.0,EDUCATION,B,26117,10.69,1,0.595,Y,5.0
48,35823,RENT,5.6,VENTURE,F,34126,21.12,1,0.953,N,27.0
37,91987,RENT,1.2,PERSONAL,A,34617,6.79,0,0.376,N,16.0
45,32125,MORTGAGE,1.2,DEBTCONSOLIDATION,A,8498,6.98,1,0.265,Y,26.0
63,21055,RENT,10.4,HOMEIMPROVEMENT,B,10628,11.21,1,0.505,N,30.0
53,19264,RENT,1.4,MEDICAL,D,1329,16.28,1,0.069,N,30.0
29,70516,OWN,1.5,DEBTCONSOLIDATION,A,8032,7.65,0,0.114,Y,8.0
55,22736,RENT,0.0,HOMEIMPROVEMENT,A,21622,6.6,1,0.951,N,30.0
33,140487,OWN,10.2,EDUCATION,A,29584,9.83,0,0.211,N,12.0
50,15000,RENT,7.9,DEBTCONSOLIDATION,C,5722,12.92,1,0.381,N,28.0
67,135655,OWN,4.9,HOMEIMPROVEMENT,A,18772,7.46,0,0.138,N,30.0
34,55637,MORTGAGE,6.9,EDUCATION,B,21569,10.28,0,0.388,N,16.0
27,46257,MORTGAGE,0.8,EDUCATION,B,4235,12.85,0,0.092,N,8.0
33,35349,OTHER,3.1,EDUCATION,D,5576,15.65,0,0.158,N,12.0
42,62285,RENT,2.2,EDUCATION,B,27707,10.04,1,0.445,Y,24.0
59,47926,OWN,0.5,EDUCATION,A,34868,7.64,1,0.728,N,30.0
40,95033,RENT,3.3,VENTURE,B,31285,9.67,0,0.329,N,18.0
35,52498,RENT,12.7,DEBTCONSOLIDATION,F,25154,21.13,0,0.479,N,16.0
64,53647,RENT,0.2,HOMEIMPROVEMENT,C,21054,16.35,0,0.392,N,30.0
37,39412,MORTGAGE,1.7,VENTURE,G,18165,23.86,1,0.461,N,18.0
66,47374,RENT,1.2,VENTURE,D,15439,16.32,0,0.326,Y,30.0
43,58963,MORTGAGE,1.4,PERSONAL,A,23515,6.64,0,0.399,N,22.0
45,17569,MORTGAGE,12.0,PERSONAL,C,27962,15.55,1,1.592,N,23.0
44,21831,MORTGAGE,3.2,PERSONAL,A,20464,9.83,0,0.937,N,25.0
64,76569,MORTGAGE,3.1,MEDICAL,B,31413,11.52,1,0.41,N,30.0
60,54313,RENT,7.1,PERSONAL,A,34270,8.28,0,0.631,N,30.0
48,43897,RENT,0.8,HOMEIMPROVEMENT,B,21269,10.22,0,0.485,N,27.0
34,49565,RENT,3.3,VENTURE,E,32541,18.97,1,0.657,N,16.0
64,60388,RENT,2.8,HOMEIMPROVEMENT,A,9009,6.5,1,0.149,Y,30.0
20,35459,RENT,4.5,DEBTCONSOLIDATION,D,18007,14.65,1,0.508,N,1.0
44,30730,RENT,38.6,PERSONAL,A,27462,5.72,0,0.894,N,22.0
26,55133,RENT,7.3,MEDICAL,A,12542,7.99,1,0.227,N,6.0
28,27254,OWN,2.5,DEBTCONSOLIDATION,D,18434,14.35,1,0.676,N,6.0
43,62626,MORTGAGE,8.8,MEDICAL,C,30765,12.9,0,0.491,N,23.0
20,17649,RENT,0.9,DEBTCONSOLIDATION,C,24769,13.43,1,1.403,N,1.0
63,90898,MORTGAGE,0.2,VENTURE,A,23465,8.69,0,0.258,N,30.0
27,65092,RENT,1.1,HOMEIMPROVEMENT,B,22868,9.81,1,0.351,Y,9.0
43,57160,RENT,2.1,EDUCATION,C,21156,,1,0.37,N,23.0
30,88398,MORTGAGE,3.6,HOMEIMPROVEMENT,C,21300,14.63,0,0.241,N,9.0
36,133157,RENT,4.8,PERSONAL,B,14435,9.21,0,0.108,Y,15.0
27,90095,RENT,12.1,EDUCATION,F,5114,22.35,0,0.057,N,6.0
54,16243,OTHER,3.6,MEDICAL,C,9095,13.16,1,0.56,N,30.0
54,22748,OWN,3.5,VENTURE,E,4951,17.9,0,0.218,Y,30.0
52,33695,MORTGAGE,0.3,VENTURE,C,22468,13.16,1,0.667,N,30.0
24,49794,MORTGAGE,0.2,MEDICAL,C,28073,13.5,1,0.564,N,2.0
61,66875,MORTGAGE,4.0,PERSONAL,A,3768,7.0,0,0.056,N,30.0
58,31715,RENT,2.9,MEDICAL,B,34979,9.49,1,1.103,N,30.0
60,54833,RENT,9.1,DEBTCONSOLIDATION,D,26351,15.1,1,0.481,N,30.0
47,31156,RENT,0.9,PERSONAL,A,16445,7.67,1,0.528,N,26.0
26,33965,RENT,0.1,EDUCATION,A,2160,7.31,0,0.064,N,8.0
28,21078,MORTGAGE,3.0,MEDICAL,B,23361,11.13,1,1.108,N,10.0
27,28171,RENT,1.4,PERSONAL,A,8041,7.56,1,0.285,N,7.0
31,21785,OWN,0.3,EDUCATION,E,19767,18.59,1,0.907,Y,12.0
53,27295,OWN,6.4,MEDICAL,D,11846,16.71,1,0.434,Y,30.0
52,92243,MORTGAGE,0.6,VENTURE,B,20924,12.2,0,0.227,N,30.0
67,27732,MORTGAGE,4.7,MEDICAL,A,14882,9.25,0,0.537,N,30.0
42,237858,MORTGAGE,1.6,HOMEIMPROVEMENT,C,15738,15.11,1,0.066,N,21.0
43,65906,RENT,1.0,MEDICAL,C,22019,14.54,0,0.334,N,23.0
56,54770,MORTGAGE,2.4,HOMEIMPROVEMENT,F,2095,23.5,1,0.038,N,30.0
54,29289,RENT,8.1,EDUCATION,B,15123,11.03,0,0.516,N,30.0
63,74621,MORTGAGE,2.5,MEDICAL,B,29132,10.89,0,0.39,Y,30.0
59,34704,RENT,6.9,EDUCATION,B,2079,13.19,0,0.06,N,30.0
41,52744,MORTGAGE,0.7,EDUCATION,F,30657,17.73,1,0.581,N,19.0
46,227760,OWN,7.4,PERSONAL,C,33375,13.24,0,0.147,N,24.0
54,46275,RENT,1.4,EDUCATION,C,25754,15.0,1,0.557,N,30.0
20,97690,RENT,5.7,EDUCATION,A,32153,8.68,0,0.329,N,1.0
54,32147,OTHER,4.2,MEDICAL,C,19344,16.58,1,0.602,Y,30.0
56,48002,RENT,13.2,MEDICAL,C,5979,,0,0.125,N,30.0
66,141843,MORTGAGE,2.4,VENTURE,B,2212,9.98,0,0.016,N,30.0
33,33651,MORTGAGE,0.3,PERSONAL,B,10001,10.1,0,0.297,N,12.0
22,145432,RENT,,EDUCATION,A,14248,7.88,0,0.098,N,3.0
20,74955,RENT,8.8,PERSONAL,A,34187,9.45,0,0.456,N,2.0
24,34979,RENT,3.7,HOMEIMPROVEMENT,A,16608,9.46,1,0.475,N,3.0
45,71642,MORTGAGE,7.5,EDUCATION,A,32368,7.43,0,0.452,N,27.0
33,87862,RENT,1.3,PERSONAL,B,6283,,0,0.072,N,11.0
58,71188,MORTGAGE,2.1,VENTURE,A,26854,6.77,1,0.377,Y,30.0
46,19108,RENT,0.2,VENTURE,A,11715,6.89,0,0.613,N,25.0
28,31688,MORTGAGE,16.3,EDUCATION,D,17165,17.26,1,0.542,N,8.0
34,42255,MORTGAGE,5.5,HOMEIMPROVEMENT,B,27797,12.42,1,0.658,Y,14.0
34,46879,OTHER,13.5,VENTURE,C,11584,12.66,1,0.247,N,13.0
45,71139,RENT,1.5,VENTURE,B,15780,10.79,0,0.222,N,23.0
61,54536,MORTGAGE,4.7,HOMEIMPROVEMENT,C,22573,13.21,0,0.414,N,30.0
32,21999,MORTGAGE,5.7,PERSONAL,A,34359,8.54,1,1.562,N,12.0
51,61581,MORTGAGE,1.9,VENTURE,D,1526,15.53,0,0.025,N,29.0
58,70710,OWN,9.4,MEDICAL,A,8855,5.19,0,0.125,N,30.0
51,68588,RENT,14.7,DEBTCONSOLIDATION,C,30482,14.7,1,0.444,Y,30.0
23,93757,RENT,10.8,DEBTCONSOLIDATION,B,17571,10.14,0,0.187,Y,4.0
49,80850,MORTGAGE,6.7,VENTURE,C,32740,13.26,0,0.405,N,29.0
56,64570,RENT,1.6,PERSONAL,B,20142,11.02,0,0.312,N,30.0
42,46999,MORTGAGE,1.7,PERSONAL,B,26104,10.92,1,0.555,N,24.0
58,18095,OWN,16.5,EDUCATION,A,9625,8.05,0,0.532,N,30.0
64,63434,RENT,0.1,MEDICAL,C,16926,11.54,0,0.267,N,30.0
34,55526,OWN,6.3,PERSONAL,F,32218,21.67,0,0.58,N,14.0
62,57696,RENT,6.1,HOMEIMPROVEMENT,D,27380,13.71,1,0.475,Y,30.0
48,22787,MORTGAGE,4.9,MEDICAL,A,21566,8.42,1,0.946,N,29.0
55,25626,MORTGAGE,23.1,DEBTCONSOLIDATION,B,34205,11.84,1,1.335,N,30.0
32,92216,OWN,1.9,MEDICAL,E,30717,16.86,1,0.333,N,11.0
51,47871,RENT,2.1,HOMEIMPROVEMENT,B,26135,10.89,1,0.546,Y,30.0
26,73784,RENT,0.4,VENTURE,C,29164,14.77,0,0.395,N,4.0
41,49860,MORTGAGE,2.9,HOMEIMPROVEMENT,E,9953,17.96,0,0.2,N,21.0
47,49903,MORTGAGE,1.5,HOMEIMPROVEMENT,D,4574,16.81,0,0.092,N,27.0
21,86074,MORTGAGE,2.1,VENTURE,B,21169,7.16,0,0.246,N,1.0
61,35967,RENT,9.0,VENTURE,B,22604,11.82,1,0.628,N,30.0
64,51931,RENT,13.7,VENTURE,B,25134,10.54,1,0.484,Y,30.0
25,37146,RENT,1.0,VENTURE,C,24202,13.19,1,0.652,N,6.0
47,37771,MORTGAGE,2.3,VENTURE,A,1684,,0,0.045,N,26.0
47,40720,RENT,13.2,HOMEIMPROVEMENT,A,9007,9.58,0,0.221,N,25.0
63,56009,RENT,0.3,EDUCATION,B,10255,11.08,0,0.183,N,30.0
63,36781,OWN,0.5,EDUCATION,A,33262,9.43,1,0.904,N,30.0
39,104136,RENT,0.9,PERSONAL,C,19093,11.64,0,0.183,N,17.0
49,28659,OTHER,4.5,EDUCATION,C,6782,14.3,1,0.237,Y,30.0
30,43821,MORTGAGE,0.8,DEBTCONSOLIDATION,B,2234,10.34,0,0.051,N,8.0
47,37652,MORTGAGE,17.2,EDUCATION,B,32996,9.55,0,0.876,N,28.0
44,116796,RENT,3.0,HOMEIMPROVEMENT,E,30204,16.19,0,0.259,N,24.0
58,55156,RENT,3.5,VENTURE,A,18152,8.23,0,0.329,N,30.0
52,91044,MORTGAGE,1.4,VENTURE,C,26019,14.55,0,0.286,N,30.0
20,20103,MORTGAGE,3.2,HOMEIMPROVEMENT,E,20488,20.11,1,1.019,N,1.0
46,57539,MORTGAGE,5.4,DEBTCONSOLIDATION,B,20689,11.91,1,0.36,N,24.0
32,83598,RENT,7.0,EDUCATION,B,29506,9.57,0,0.353,N,10.0
60,51501,MORTGAGE,7.0,HOMEIMPROVEMENT,E,18715,20.05,1,0.363,N,30.0
22,92900,MORTGAGE,4.3,PERSONAL,A,14765,9.18,0,0.159,N,1.0
58,35940,MORTGAGE,11.7,VENTURE,B,22942,10.19,0,0.638,N,30.0
25,114188,MORTGAGE,8.5,MEDICAL,B,21478,10.53,0,0.188,Y,3.0
27,194724,MORTGAGE,7.1,PERSONAL,A,23551,6.38,0,0.121,N,7.0
46,39430,MORTGAGE,0.3,DEBTCONSOLIDATION,D,29072,17.78,1,0.737,Y,24.0
28,37522,RENT,0.0,PERSONAL,D,3892,14.19,1,0.104,N,7.0
56,117246,RENT,1.2,HOMEIMPROVEMENT,C,34966,14.14,0,0.298,N,30.0
52,126467,RENT,5.4,EDUCATION,A,25395,6.78,0,0.201,N,30.0
61,35820,RENT,2.6,VENTURE,A,19756,6.17,1,0.552,N,30.0
63,38096,RENT,2.6,DEBTCONSOLIDATION,C,23174,11.25,0,0.608,N,30.0
43,41395,RENT,10.8,DEBTCONSOLIDATION,A,1797,7.24,0,0.043,N,21.0
34,21880,RENT,11.3,MEDICAL,C,9209,11.98,1,0.421,N,16.0
51,28248,RENT,12.0,PERSONAL,B,22346,10.57,0,0.791,N,29.0
51,26836,MORTGAGE,1.9,MEDICAL,C,29024,15.62,1,1.082,N,30.0
43,30925,OWN,5.9,EDUCATION,B,30414,10.74,1,0.983,Y,22.0
60,48011,RENT,1.6,EDUCATION,B,6947,12.9,1,0.145,N,30.0
31,56417,OWN,1.1,MEDICAL,A,10617,6.32,0,0.188,N,9.0
58,124280,MORTGAGE,1.0,VENTURE,B,21704,8.96,0,0.175,N,30.0
21,26929,RENT,2.1,EDUCATION,B,29702,9.27,1,1.103,Y,1.0
22,88485,RENT,2.8,MEDICAL,C,2892,13.42,0,0.033,N,1.0
56,43114,MORTGAGE,8.9,PERSONAL,C,30754,16.77,1,0.713,N,30.0
36,47587,MORTGAGE,0.6,MEDICAL,C,4424,11.51,0,0.093,N,17.0
21,73489,MORTGAGE,6.6,MEDICAL,F,14418,21.74,0,0.196,N,1.0
21,24993,RENT,3.8,HOMEIMPROVEMENT,A,30886,,1,1.236,N,1.0
47,61663,RENT,1.7,EDUCATION,A,24057,7.23,0,0.39,N,29.0
42,54169,RENT,3.4,VENTURE,B,5833,8.99,1,0.108,Y,20.0
56,65872,RENT,1.8,VENTURE,C,10894,14.55,1,0.165,Y,30.0
51,58308,RENT,4.5,HOMEIMPROVEMENT,B,1565,10.45,0,0.027,N,30.0
52,213882,RENT,2.8,DEBTCONSOLIDATION,D,19402,17.3,0,0.091,Y,30.0
20,33434,MORTGAGE,0.9,VENTURE,B,11315,10.71,0,0.338,N,1.0
38,35646,OWN,0.6,MEDICAL,E,13834,16.18,1,0.388,Y,16.0
21,33729,RENT,4.0,HOMEIMPROVEMENT,E,3314,19.82,1,0.098,N,1.0
63,35126,OWN,11.6,PERSONAL,A,4883,5.08,0,0.139,N,30.0
45,33441,RENT,2.1,EDUCATION,B,11051,8.26,0,0.33,Y,25.0
51,100048,RENT,6.6,EDUCATION,C,12695,12.4,0,0.127,Y,30.0
25,114955,RENT,5.4,EDUCATION,A,24123,6.42,0,0.21,N,4.0
51,34806,MORTGAGE,,MEDICAL,B,8902,12.18,1,0.256,N,30.0
23,29750,OWN,8.6,PERSONAL,C,18573,13.29,1,0.624,N,4.0
30,65045,MORTGAGE,4.2,HOMEIMPROVEMENT,A,30374,9.0,0,0.467,Y,8.0
36,35195,RENT,5.4,HOMEIMPROVEMENT,C,13288,12.82,1,0.378,N,18.0
57,71665,MORTGAGE,11.4,EDUCATION,C,7884,13.88,1,0.11,N,30.0
43,55367,RENT,2.6,PERSONAL,A,11559,8.07,0,0.209,N,23.0
24,19742,OWN,2.0,PERSONAL,B,19125,11.34,1,0.969,N,6.0
53,124057,MORTGAGE,0.1,PERSONAL,A,4688,,1,0.038,N,30.0
25,143993,RENT,8.8,VENTURE,C,24869,13.05,0,0.173,N,3.0
41,33939,MORTGAGE,8.1,VENTURE,A,5023,7.14,0,0.148,N,23.0
30,38846,MORTGAGE,0.6,EDUCATION,D,18100,14.02,1,0.466,N,10.0
67,58192,RENT,4.3,PERSONAL,B,8423,10.4,0,0.145,N,30.0
35,59914,MORTGAGE,,DEBTCONSOLIDATION,A,13213,7.04,0,0.221,N,13.0
52,72774,RENT,0.6,PERSONAL,B,34158,11.2,0,0.469,N,30.0
28,163754,MORTGAGE,19.7,HOMEIMPROVEMENT,B,29460,10.61,0,0.18,N,8.0
25,44083,MORTGAGE,1.2,HOMEIMPROVEMENT,B,32017,,1,0.726,N,6.0
35,30364,MORTGAGE,0.3,EDUCATION,B,34000,,1,1.12,N,13.0
48,21427,MORTGAGE,4.5,DEBTCONSOLIDATION,B,27502,9.83,1,1.284,N,28.0
22,31616,MORTGAGE,6.7,PERSONAL,A,31990,7.57,0,1.012,N,1.0
39,48056,RENT,0.2,DEBTCONSOLIDATION,A,20515,8.37,1,0.427,N,21.0
55,143879,MORTGAGE,5.4,EDUCATION,C,30991,11.37,0,0.215,N,30.0
38,35933,RENT,3.8,HOMEIMPROVEMENT,B,8634,9.64,0,0.24,N,17.0
45,56065,RENT,,HOMEIMPROVEMENT,B,12498,9.67,0,0.223,N,25.0
22,48540,RENT,0.9,VENTURE,D,11916,16.49,1,0.245,Y,2.0
38,100011,RENT,4.2,EDUCATION,B,30377,11.13,1,0.304,N,16.0
39,223274,MORTGAGE,1.8,EDUCATION,C,34001,13.62,0,0.152,Y,19.0
51,35649,RENT,13.9,PERSONAL,B,2391,7.53,0,0.067,N,29.0
26,36546,MORTGAGE,8.5,PERSONAL,A,15184,5.52,0,0.415,N,6.0
60,91720,RENT,20.5,VENTURE,E,28114,18.21,1,0.307,Y,30.0
52,73801,RENT,1.5,MEDICAL,B,12882,9.9,0,0.175,N,30.0
59,148453,MORTGAGE,17.5,DEBTCONSOLIDATION,C,18273,13.51,0,0.123,N,30.0
58,69588,RENT,2.8,MEDICAL,A,18129,6.94,0,0.261,N,30.0
37,39514,RENT,2.1,MEDICAL,C,1427,15.34,1,0.036,Y,18.0
59,69870,MORTGAGE,0.3,EDUCATION,D,32416,13.25,0,0.464,N,30.0
20,95341,RENT,0.3,DEBTCONSOLIDATION,A,1731,7.86,0,0.018,N,1.0
30,80200,MORTGAGE,5.9,EDUCATION,D,1799,16.99,1,0.022,N,11.0
47,66460,RENT,3.1,DEBTCONSOLIDATION,B,29873,11.34,0,0.449,N,29.0
44,92967,RENT,1.3,HOMEIMPROVEMENT,C,8025,14.44,1,0.086,N,23.0
42,98871,MORTGAGE,4.8,EDUCATION,B,15481,11.62,1,0.157,N,24.0
50,112341,RENT,1.5,EDUCATION,D,26411,15.28,1,0.235,Y,30.0
49,72346,RENT,4.3,EDUCATION,A,32358,6.18,0,0.447,N,29.0
61,44343,RENT,2.2,VENTURE,A,15961,5.06,0,0.36,N,30.0
54,53531,RENT,8.7,EDUCATION,D,22767,15.56,1,0.425,N,30.0
26,101104,MORTGAGE,8.6,PERSONAL,C,22392,12.57,0,0.221,N,5.0
35,30026,RENT,3.2,PERSONAL,A,14262,8.89,1,0.475,N,16.0
45,61157,MORTGAGE,2.2,DEBTCONSOLIDATION,B,6229,10.15,0,0.102,N,27.0
67,38715,OWN,2.3,HOMEIMPROVEMENT,B,24772,9.26,1,0.64,N,30.0
21,49873,RENT,8.2,VENTURE,B,19799,9.07,0,0.397,N,3.0
20,105563,OWN,2.0,DEBTCONSOLIDATION,A,24555,9.89,0,0.233,N,2.0
67,54976,RENT,1.2,PERSONAL,C,27616,13.47,1,0.502,N,30.0
31,50405,OWN,0.4,VENTURE,A,20333,6.56,1,0.403,N,10.0
24,21678,RENT,3.1,VENTURE,C,5261,13.65,1,0.243,N,3.0
56,76707,MORTGAGE,3.3,HOMEIMPROVEMENT,D,4466,18.28,0,0.058,N,30.0
51,72206,RENT,9.2,VENTURE,B,4088,10.03,0,0.057,N,30.0
28,179504,RENT,1.3,EDUCATION,A,2115,8.32,0,0.012,Y,8.0
60,40754,MORTGAGE,2.4,VENTURE,A,5578,8.92,0,0.137,N,30.0
54,55909,MORTGAGE,8.3,HOMEIMPROVEMENT,B,3590,8.23,0,0.064,N,30.0
38,56932,RENT,8.7,DEBTCONSOLIDATION,C,8372,12.73,0,0.147,N,19.0
67,126307,RENT,,HOMEIMPROVEMENT,B,4573,11.77,0,0.036,Y,30.0
35,46296,MORTGAGE,3.1,HOMEIMPROVEMENT,C,3978,12.66,0,0.086,N,13.0
22,57954,MORTGAGE,1.8,PERSONAL,B,10422,11.0,0,0.18,Y,4.0
39,70596,OWN,13.5,EDUCATION,B,24697,9.59,0,0.35,N,18.0
43,54828,MORTGAGE,0.6,PERSONAL,A,31820,6.97,0,0.58,Y,21.0
52,37501,OWN,13.6,DEBTCONSOLIDATION,A,5925,6.82,0,0.158,N,30.0
43,55075,MORTGAGE,5.8,MEDICAL,A,30430,8.26,0,0.553,N,22.0
30,93356,RENT,3.8,DEBTCONSOLIDATION,B,29834,10.74,0,0.32,N,9.0
27,26478,RENT,0.2,EDUCATION,D,25435,16.12,1,0.961,Y,8.0
55,53092,MORTGAGE,3.2,VENTURE,C,22676,16.51,0,0.427,N,30.0
57,32206,MORTGAGE,2.6,HOMEIMPROVEMENT,A,20814,9.59,0,0.646,N,30.0
59,100411,RENT,0.9,MEDICAL,A,15716,,0,0.157,N,30.0
39,19655,RENT,5.3,EDUCATION,A,28528,6.97,1,1.451,N,18.0
54,35054,OWN,17.7,PERSONAL,B,2995,13.41,1,0.085,N,30.0
67,61471,MORTGAGE,4.1,HOMEIMPROVEMENT,B,23414,9.81,0,0.381,N,30.0
44,125406,RENT,,DEBTCONSOLIDATION,B,14844,13.01,0,0.118,N,26.0
54,47124,RENT,0.4,PERSONAL,A,16522,6.99,0,0.351,Y,30.0
44,35132,RENT,2.7,EDUCATION,A,9498,7.22,0,0.27,N,22.0
48,151553,RENT,0.6,EDUCATION,A,3102,8.54,0,0.02,N,30.0
37,20561,RENT,4.7,DEBTCONSOLIDATION,A,9524,7.39,1,0.463,N,15.0
65,15000,RENT,13.9,MEDICAL,C,31846,14.09,1,2.123,Y,30.0
37,63831,MORTGAGE,5.4,DEBTCONSOLIDATION,A,9107,9.39,0,0.143,N,18.0
21,36270,RENT,0.4,VENTURE,B,19268,11.41,1,0.531,N,1.0
54,26562,MORTGAGE,2.2,PERSONAL,B,25399,10.67,1,0.956,Y,30.0
35,74982,MORTGAGE,4.0,MEDICAL,D,10624,18.01,0,0.142,N,14.0
60,56742,RENT,2.6,HOMEIMPROVEMENT,D,28126,17.05,1,0.496,N,30.0
55,34945,MORTGAGE,9.0,VENTURE,C,24131,12.62,0,0.691,N,30.0
52,22738,RENT,8.4,MEDICAL,A,21714,9.88,1,0.955,Y,30.0
23,82741,OWN,4.7,PERSONAL,B,19570,11.27,0,0.237,N,1.0
52,72411,RENT,2.3,EDUCATION,C,13482,13.24,0,0.186,N,30.0
33,46188,MORTGAGE,1.5,HOMEIMPROVEMENT,A,34414,5.08,0,0.745,N,15.0
